wavelength,rel_height
640,0.00396897
641,0.003247339
642,0.001443262
643,0.001804077
644,0.001443262
645,0.001443262
646,0.001082446
647,0.001082446
648,0.001082446
649,0.000721631
650,0.000721631
651,0.000721631
652,0.000721631
653,0.000721631
654,0.000721631
655,0.000721631
656,0.000721631
657,0.000721631
658,0.000721631
659,0.000721631
660,0.000721631
661,0.000360815
592,0.000721631
593,0.001082446
594,0.001082446
595,0.001443262
596,0.001443262
597,0.001443262
598,0.001443262
599,0.002525708
600,0.002525708
601,0.003247339
602,0.003608154
603,0.004329785
604,0.005773047
605,0.006133863
606,0.006133863
607,0.007577124
608,0.009020386
609,0.011185279
610,0.01262854
611,0.014071802
612,0.015515064
613,0.018401587
614,0.02056648
615,0.022009742
616,0.026339527
617,0.029226051
618,0.033916652
619,0.036803175
620,0.045462746
621,0.051957424
622,0.056287209
623,0.060256179
624,0.06097781
625,0.061699441
626,0.059895364
627,0.051235793
628,0.047627638
629,0.040411329
630,0.028865236
631,0.025257081
632,0.021648927
633,0.016236695
634,0.013710987
635,0.010824463
636,0.008659571
637,0.007216309
638,0.005773047
639,0.004329785
