
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	ON	XB7-548-207	3	OFF	18.900	ON	1013	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.900	18.900	855	100.000	20.950	53.764	23.948	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	9/27/2017	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
9/27/2017	10:31:19	0.00		110.60	---	---	---	18.900	---	---	---	855.25	29.324	---	---	---	33.615	---	---	---	458.103	---	---	---	4.548	---	---	---	
9/27/2017	10:31:20	1.00		110.01	---	---	---	18.900	---	---	---	855.24	29.461	---	---	---	33.678	---	---	---	459.026	---	---	---	21.227	---	---	---	
9/27/2017	10:31:21	2.00		109.26	---	---	---	18.900	---	---	---	855.22	29.606	---	---	---	33.759	---	---	---	460.144	---	---	---	21.227	---	---	---	
9/27/2017	10:31:22	3.00		109.20	---	---	---	18.900	---	---	---	855.20	29.637	---	---	---	33.766	---	---	---	460.259	---	---	---	21.243	---	---	---	
9/27/2017	10:31:23	4.00		108.97	---	---	---	18.900	---	---	---	855.27	29.637	---	---	---	33.790	---	---	---	460.633	---	---	---	4.585	---	---	---	
9/27/2017	10:31:24	5.00		108.88	---	---	---	18.900	---	---	---	855.30	29.611	---	---	---	33.800	---	---	---	460.763	---	---	---	4.605	---	---	---	
9/27/2017	10:31:25	6.00		108.78	---	---	---	18.900	---	---	---	855.29	29.598	---	---	---	33.810	---	---	---	460.899	---	---	---	4.629	---	---	---	
9/27/2017	10:31:26	7.00		108.67	---	---	---	18.900	---	---	---	855.24	29.573	---	---	---	33.823	---	---	---	461.015	---	---	---	4.615	---	---	---	
9/27/2017	10:31:27	8.00		108.59	---	---	---	18.900	---	---	---	855.24	29.565	---	---	---	33.832	---	---	---	461.148	---	---	---	4.595	---	---	---	
9/27/2017	10:31:28	9.00		108.52	---	---	---	18.900	---	---	---	855.25	29.539	---	---	---	33.839	---	---	---	461.283	---	---	---	4.568	---	---	---	
9/27/2017	10:31:29	10.00		108.42	---	---	---	18.900	---	---	---	855.24	29.527	---	---	---	33.850	---	---	---	461.415	---	---	---	4.577	---	---	---	
9/27/2017	10:31:30	11.00		108.33	---	---	---	18.900	---	---	---	855.22	29.499	---	---	---	33.860	---	---	---	461.550	---	---	---	4.608	---	---	---	
