
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	ON	XB7-548-207	3	OFF	18.900	ON	1013	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.900	18.900	855	100.000	20.950	53.764	23.948	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	9/27/2017	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
9/27/2017	10:16:22	0.00		245.58	---	---	---	18.900	---	---	---	855.21	29.774	---	---	---	23.934	---	---	---	317.611	---	---	---	4.616	---	---	---	
9/27/2017	10:16:23	1.00		234.91	---	---	---	18.900	---	---	---	855.20	29.891	---	---	---	24.468	---	---	---	326.079	---	---	---	4.594	---	---	---	
9/27/2017	10:16:24	2.00		224.15	---	---	---	18.900	---	---	---	855.17	30.008	---	---	---	25.007	---	---	---	334.562	---	---	---	4.616	---	---	---	
9/27/2017	10:16:25	3.00		223.71	---	---	---	18.900	---	---	---	855.16	29.982	---	---	---	25.031	---	---	---	334.869	---	---	---	4.610	---	---	---	
9/27/2017	10:16:26	4.00		223.34	---	---	---	18.900	---	---	---	855.19	29.957	---	---	---	25.050	---	---	---	335.209	---	---	---	4.622	---	---	---	
9/27/2017	10:16:27	5.00		222.89	---	---	---	18.900	---	---	---	855.19	29.916	---	---	---	25.075	---	---	---	335.542	---	---	---	4.601	---	---	---	
9/27/2017	10:16:28	6.00		222.44	---	---	---	18.900	---	---	---	855.16	29.876	---	---	---	25.099	---	---	---	335.872	---	---	---	4.598	---	---	---	
9/27/2017	10:16:29	7.00		221.97	---	---	---	18.900	---	---	---	855.15	29.835	---	---	---	25.125	---	---	---	336.182	---	---	---	4.582	---	---	---	
9/27/2017	10:16:30	8.00		221.62	---	---	---	18.900	---	---	---	855.20	29.810	---	---	---	25.144	---	---	---	336.443	---	---	---	4.572	---	---	---	
9/27/2017	10:16:31	9.00		221.26	---	---	---	18.900	---	---	---	855.25	29.784	---	---	---	25.164	---	---	---	336.724	---	---	---	4.568	---	---	---	
9/27/2017	10:16:32	10.00		220.95	---	---	---	18.900	---	---	---	855.22	29.771	---	---	---	25.181	---	---	---	337.001	---	---	---	4.586	---	---	---	
9/27/2017	10:16:33	11.00		220.59	---	---	---	18.900	---	---	---	855.16	29.758	---	---	---	25.201	---	---	---	337.329	---	---	---	4.604	---	---	---	
