Wavelength (nm),f2_blank,Pt_abs_F1,Pt_abs_F2,Pt_abs_F3,Pt_abs_F4,Pt_abs_F5,Pt_abs_F6,Pt_abs_F7
799.9849243,-0.087542914,-0.009534656,-0.032620952,-0.0549335,0.052365236,-0.099537328,0.028549433,-0.039523903
799.4990845,-0.067358658,-0.059573691,0.002213445,-0.065844096,-0.019574843,-0.046991773,-0.016702255,-0.034291618
799.0131226,-0.009051208,-0.030107277,-0.023619985,-0.067032941,-0.050852049,-0.013027068,-0.016320875,0.02122689
798.4924316,-0.040069129,-0.06298019,-0.035443351,0.036112148,-0.001006522,-0.02116788,-0.022116633,-0.018180298
798.0062256,-0.001365201,-0.012403972,-0.059147041,-0.000152493,-0.005414533,-0.009166849,-0.048417736,0.019314487
797.4852905,-0.065629877,-0.016201986,-0.040209223,0.045586947,0.082017966,-0.033784445,-0.001181432,0.002680203
796.9989014,-0.022762807,-0.000182716,-0.034937236,-0.021810738,0.05430242,0.012069495,-0.030466659,-0.026877983
796.5125122,0.026258945,-0.089168951,0.007040616,-0.053387728,0.024861777,-0.042951759,-0.06482821,0.017053543
795.991272,-0.043282256,0.028793218,-0.069442265,0.017847221,-0.028807249,-0.054627553,-0.015809234,-0.030288333
795.5046387,0.017547289,-0.025194079,-0.011179462,-0.05419258,0.007679869,-0.047631279,0.009404538,-0.04464994
794.9832153,-0.052872542,-0.01734668,0.007727298,-0.053689197,-0.062792912,-0.010347803,-0.00787531,0.01315842
794.4963379,-0.032412037,-0.036469195,-0.056827452,-0.022470592,0.105997272,0.012373523,0.075620368,-0.03368859
794.0094604,-0.030165626,-0.067994468,-0.026756547,-0.104917504,-0.025560182,-0.021839639,-0.02303062,0.045709703
793.4876099,0.020032445,-0.091774262,-0.007131777,-0.032847427,0.063533977,-0.002762238,-0.039287873,-0.056643229
793.0004883,-0.065917768,-0.043577239,-0.062389009,-0.010916152,0.059432052,-0.058769848,-0.035303336,-0.027818436
792.5133057,-0.012292864,-0.077632725,-0.029749919,-0.061336137,0.04835891,-0.010533596,0.013570483,-0.068129957
791.9912109,-0.011833488,-0.00520096,-0.090632431,0.028031789,-0.05289083,-0.004505608,-0.045655876,-0.057981953
791.5038452,-0.042870902,-0.085189745,-0.029625898,-0.040822972,0.005539126,-0.011394403,0.050887737,0.005129371
791.0162964,-0.039151032,0.088682465,-0.028694298,-0.027731068,-0.026163237,0.017047243,0.045961358,-0.010232274
790.4940186,-0.083809391,-0.053543177,0.00909621,0.051897831,0.020352272,0.049816493,0.029713096,0.03660778
790.0062866,-0.097207539,-0.057011828,-0.023648424,-0.052313056,0.111196846,-0.082686879,-0.00934803,-0.018471742
789.4836426,-0.027420502,-0.032496642,-0.026861243,-0.055734541,0.013241863,-0.069837414,-0.020380836,-0.034972202
788.9957886,-0.054058027,-0.03978838,-0.03889009,-0.040824808,0.003631227,-0.064368039,-0.048609324,-0.070632756
788.5077515,-0.025561305,-0.047702581,0.022639118,-0.012254866,-0.032493662,-0.00734028,-0.018449564,0.028080774
787.9849243,-0.026372449,-0.000373788,-0.004772525,-0.052783653,-0.040657993,-0.055986196,-0.041080162,-0.008183149
787.4967651,-0.01996401,0.005009265,-0.009200202,0.000898655,0.042329755,-0.008472187,0.039505187,0.008003172
787.0084839,-0.10407985,-0.044108473,-0.021611238,-0.029711194,0.005844702,-0.08364322,0.03025315,-0.06124375
786.4852905,-0.069278449,-0.035131998,-0.095331088,0.013699713,-0.017468736,0.055609323,-0.007045852,-0.030983794
785.9968262,-0.020556165,0.017304778,-0.026302479,0.018366687,0.045756206,0.006846025,-0.028514903,-0.034203153
785.5083008,-0.050889947,-0.037221417,-0.06359601,-0.122380793,0.030924136,-0.061611477,-0.076240256,0.000263237
784.9847412,-0.01773213,-0.065474197,-0.002810284,-0.051546823,-0.061552174,0.022872813,-0.057079792,-0.032442737
784.4960327,0.059269276,-0.027988216,0.006169293,-0.032816995,-0.013166619,-0.035027988,-0.058982328,-0.031444456
784.0072021,-0.035235364,-0.047270972,0.000446866,-0.039328922,-0.056333661,0.009258465,0.003735731,-0.02280088
783.4833984,-0.063990884,-0.001622604,-0.009095217,0.115249783,0.01435712,-0.064358659,0.070547074,-0.005721617
782.9943848,-0.019712701,-0.001548375,-0.035821185,-0.043098193,0.054818414,-0.002570362,0.001722109,-0.008169685
782.505249,-0.029164463,0.029855652,-0.025064841,-0.030361768,0.032705113,0.007951732,-0.038993228,0.005919011
782.0159912,0.017613329,0.011645106,-0.036346175,-0.017218668,0.038626485,-0.021057414,-0.018657068,-0.026241904
781.4918213,-0.041178636,-0.049886893,-0.00475619,-0.088754594,0.017654253,-0.099605575,0.036437713,-0.008718462
781.0024414,0.011631333,0.040341925,-0.046678599,-0.057305574,0.034409493,0.010431585,-0.0480299,0.001949648
780.5129395,-0.046600431,-0.022664441,-0.052932769,-0.034501303,0.014825549,-0.009916675,-0.032090615,-0.015591274
779.9884644,-0.019650161,-0.033923995,-0.04381277,-0.047801279,0.001684427,0.010545536,0.00500332,0.001961246
779.4987183,-0.068236642,0.055171449,-0.057202477,0.020749418,0.030294864,-0.006486183,-0.049449086,-0.05769261
779.0089722,0.01809654,-0.082434908,-0.001962839,0.000960655,0.035523187,-0.028628046,-0.019119294,-0.045919444
778.4840698,-0.0451039,-0.071251012,0.045243595,-0.068473063,0.060118999,-0.081654683,-0.004014782,-0.00059042
777.9942017,-0.011629651,0.004375339,0.042646449,-0.060313154,-0.01845512,-0.044091541,0.025675306,-0.003996982
777.5041504,0.016070956,-0.045069508,-0.027451171,-0.068588637,-0.026613994,-0.057840999,-0.05297745,-0.060601614
777.0139771,-0.051333297,-0.029032623,-0.050106023,-0.043264728,-0.052256875,-0.021254458,-0.036907818,0.008840617
776.4887085,-0.03561094,-0.027161948,-0.028036561,-0.033752881,-0.037689187,-0.020258311,-0.005195998,0.019363582
775.9983521,-0.006754384,0.041071456,0.003933948,-0.039052807,-0.088931896,-0.041899435,-0.030087473,0.004575758
775.5079956,-0.02954199,-0.014576179,-0.050786283,0.013306425,0.071259685,-0.01818273,0.01485279,-0.004947564
775.0174561,-0.01197191,0.010504296,-0.068421453,-0.068290614,0.011723526,-0.015534132,0.040193416,-0.067089066
774.4918213,-0.016252458,-0.062040921,-0.03361433,-0.077659003,-0.008989091,-0.000985241,-0.051052742,-0.055770423
774.0010986,-0.015152524,-0.03664862,-0.040821321,-2.49E-06,-0.006769166,0.023434773,0.007150154,-0.004490851
773.5103149,0.002196846,0.070207857,-0.070544697,-0.028264811,-0.008244975,-0.053971391,-0.038442712,-0.024916254
772.984375,-0.004277438,-0.017803395,0.010181697,-0.021407604,0.06316977,0.023861796,-0.026016539,-0.034836669
772.4933472,-0.05611597,-0.072717473,-0.058675647,0.014335955,0.014080042,-0.037286896,-0.011722082,-0.012552223
772.0023804,-0.047939226,-0.051711209,0.04164087,-0.035413243,-0.027013591,-0.010226661,0.017693238,-0.009550154
771.5111694,-0.054916665,-0.053459141,0.007886142,-0.028442029,0.023065686,-0.007810177,-0.011016255,-0.012681768
770.9848633,-0.001465621,-0.048526227,-0.036361031,0.00562694,0.023863273,-0.020255098,0.013254433,-0.060899515
770.4934692,-0.058982734,-0.052846733,0.006686325,-0.010425395,0.032752115,-0.029986307,-0.013996813,0.033605352
770.0020142,0.006012938,-0.017767118,-0.02687083,0.006111166,-0.004161001,-0.009410805,-0.020441048,0.030964136
769.510437,-0.064749233,0.023289969,-0.058893323,-0.015517247,-0.043122053,-0.035250541,-0.03858982,0.007964519
768.9837646,0.057432964,-0.005959651,-0.02246071,0.010841174,-0.002479926,-0.040409233,0.000842836,-0.019514659
768.4920044,-0.047570311,-0.044923689,-0.031161593,-0.03644187,0.029664258,-0.033913367,-0.008171565,0.007764401
768.0002441,-0.042111307,-0.045909196,-0.014392708,-0.012023179,0.022788454,-0.033372238,0.04304,0.024734225
767.5083008,-0.027089089,-0.028186509,-0.024385476,-0.042489111,0.022189215,-0.059067018,-0.009643889,-0.027744133
767.0162964,-0.036426447,-0.044286635,-0.028135415,-0.047562655,0.020757347,-0.016833905,-0.013962422,-0.04220546
766.4890747,-0.004343565,0.025702329,0.027546423,-0.021096868,0.005722745,-0.021331703,-0.030191513,-0.013026164
765.9969482,-0.068360776,0.005128402,-0.0218646,-0.05288744,-0.00854184,-0.035348248,-0.058052439,-0.04415543
765.5046387,-0.015370405,0.001913507,-0.059371889,-0.011902352,0.057809599,-0.030772066,-0.002326497,-0.013667434
765.012207,-0.048223745,-0.055839811,-0.001310956,-0.027557155,0.055722583,-0.030618327,-0.067011647,-0.046002157
764.4846191,-0.045862012,-0.011448008,-0.005699799,-0.036802139,0.042716648,0.009428347,-0.010906256,0.00413973
763.9920654,-0.033004504,-0.038206995,-0.004460721,0.004348538,-0.023393795,-0.028327724,-0.024078384,0.00923583
763.4993896,-0.008359408,-0.036738206,-0.04025,-0.005690857,0.049335983,-0.026598848,-0.026968149,-0.01685811
763.0067749,-0.076658137,-0.031797491,0.007402726,-0.009959332,-0.00925489,-0.011253021,-0.003465675,0.012494326
762.513916,-0.004379494,0.015937338,-0.001720696,-0.054878615,-0.013488598,-0.005775825,-0.018048758,-0.010475785
761.9857788,-0.058353901,-0.050737273,0.002011409,-0.022480424,0.021037089,-0.046470851,-0.02356644,0.047637291
